id;device_name;device_code;device_type;status;created_by;created_date;last_modified_by;last_modified_date
1;systemic;1080p;FACTORY_1;HTTP;Account;2023-08-12T19:06:11;USB;2023-08-13T01:29:25
2;paradigms;Car Liaison;FACTORY_3;Ethiopia;Chair;2023-08-12T20:03:49;Avon upward-trending;2023-08-12T14:39:03
3;connecting;distributed teal indigo;FACTORY_1;global;Towels Central;2023-08-13T05:22:51;Tuna robust;2023-08-12T16:30:25
4;Senior Investor Pizza;sky Credit multi-byte;FACTORY_1;Mobility Auto;Terrace Human parse;2023-08-12T15:51:59;Ergonomic Dynamic;2023-08-12T14:16:09
5;capacitor;Uzbekistan;FACTORY_3;innovative Arab fault-tolerant;deposit Handcrafted value-added;2023-08-13T09:38:51;SSL static port;2023-08-13T10:09:52
6;Operations Games;evolve Awesome;FACTORY_3;Shilling B2C group;compressing online virtual;2023-08-13T03:33:46;program modular virtual;2023-08-12T20:03:58
7;Manager Helena;Intelligent calculating viral;FACTORY_1;Senior;Chief;2023-08-13T06:58:24;experiences;2023-08-12T19:10:47
8;Slovenia Investment;system synthesize Games;FACTORY_3;array compress;panel Forint;2023-08-13T04:13:23;white wireless;2023-08-12T17:26:14
9;applications;Direct Producer;FACTORY_3;Open-source;RSS Shoes;2023-08-13T03:57:35;Rustic;2023-08-13T06:05:57
10;Idaho deposit;hack New Account;FACTORY_1;virtual turquoise;Nauru Awesome;2023-08-12T21:23:33;input;2023-08-13T06:38:24
